@timestamp	nginx.access.remote_ip_list	Allowed
"July 2nd 2018, 07:19:27.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:27.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:27.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:26.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:26.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:25.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:24.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:24.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:24.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:24.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:23.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:22.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:22.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:21.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:21.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:21.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:21.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:21.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:20.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:19.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:19.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:18.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:18.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:18.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:18.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:18.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:18.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:16.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:16.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:16.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:15.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:15.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:14.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:14.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:13.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:13.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:12.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:12.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:11.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:10.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:09.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:09.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:09.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:09.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:07.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:07.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:06.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:06.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:05.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:04.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:03.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:03.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:02.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:02.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:19:02.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:19:01.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:59.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:59.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:58.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:58.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:58.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:57.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:56.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:55.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:55.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:54.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:53.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:52.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:52.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:50.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:50.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:50.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:49.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:49.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:49.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:48.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:48.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:48.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:48.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:48.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:47.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:47.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:46.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:46.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:46.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:45.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:44.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:44.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:43.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:43.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:42.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:41.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:41.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:40.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:40.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:39.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:39.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:39.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:38.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:38.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:37.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:36.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:35.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:35.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:34.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:34.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:33.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:32.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:31.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:31.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:29.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:28.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:27.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:27.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:27.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:26.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:26.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:26.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:26.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:25.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:25.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:25.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:25.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:24.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:23.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:22.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:22.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:22.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:21.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:20.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:20.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:20.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:19.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:19.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:19.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:18.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:17.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:17.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:16.000"	"[""34.206.40.30""]"	no
